,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19
AE,5.915,4.343,5.996,4.619,0.872,5.135,6.031,4.354,4.635,5.706,4.774,4.762,6.442,4.617,4.555,6.165,4.613,4.617,6.098
AF,5.827,4.427,5.874,4.343,3.395,4.738,6.324,4.491,4.658,5.655,4.345,4.354,6.145,4.17,4.278,6.001,4.633,4.244,6.093
AG,4.03,4.946,6.187,6.976,5.936,6.31,4.348,4.889,4.732,3.926,6.343,6.486,4.582,6.307,6.661,4.093,4.768,6.642,3.55
AN,4.056,4.369,6.603,7.125,6.121,6.339,4.302,5.104,4.95,4.046,6.414,6.567,4.408,6.407,6.176,4.021,4.982,6.161,3.378
AO,5.835,4.799,6.279,5.599,4.555,6.349,4.795,4.868,4.971,5.676,6.122,6.034,5.342,5.939,5.887,6.067,4.994,5.869,5.676
AR,5.365,5.887,5.939,6.707,6.304,7.121,3.395,5.877,5.809,5.372,7.304,7.336,3.074,7.279,7.147,4.476,5.845,7.154,4.937
AT,4.958,1.7,6.724,5.511,4.188,5.319,5.608,3.123,3.398,4.758,4.419,4.472,6.085,5.015,4.537,5.319,3.378,4.503,4.348
AU,6.528,6.235,0.872,4.734,5.996,5.1,6.249,6.265,6.921,6.142,4.345,5.102,5.856,5.353,4.994,6.334,6.891,5.024,6.558
AW,4.028,4.382,6.591,7.126,6.135,6.325,4.321,5.113,4.956,4.028,6.399,6.554,4.427,6.397,6.165,3.89,4.99,6.15,3.45
BB,4.166,4.988,6.17,7.002,5.942,6.398,4.209,4.937,4.789,4.074,6.43,6.568,4.478,6.388,6.147,4.132,4.829,6.713,3.685
BD,6.127,5.007,5.372,3.789,3.885,4.382,6.668,5.058,4.408,6.017,4.051,3.86,7.05,3.831,3.634,6.31,4.378,3.61,6.439
BE,4.823,0.872,6.279,5.696,4.343,5.465,5.506,1.7,3.074,4.539,4.532,5.367,5.965,5.132,5.451,5.121,3.071,5.421,5.003
BF,4.549,4.206,6.151,5.917,4.684,6.243,4.738,4.258,4.319,5.056,6.045,6.034,5.342,5.864,5.991,5.526,4.354,5.966,4.421
BG,4.354,3.279,6.63,5.323,3.974,5.409,5.633,3.414,3.665,4.952,4.406,4.343,6.132,4.988,4.455,5.502,3.652,4.421,5.383
BH,5.843,4.233,6.088,4.74,1.7,4.343,5.95,4.335,4.537,5.631,4.935,4.858,6.436,4.702,4.756,6.104,4.516,4.728,6.018
BR,4.453,5.542,6.249,6.726,6.031,7.153,0.872,5.537,5.475,4.382,7.127,7.163,3.693,7.003,7.077,4.401,5.513,7.01,4.807
BS,3.534,5.052,6.597,6.915,6.074,6.021,4.742,4.971,4.801,3.6,6.104,6.267,4.793,6.113,6.48,3.526,4.827,6.467,1.7
BW,6.309,4.474,5.843,5.332,4.754,6.313,4.969,5.321,5.433,6.113,6.101,5.963,5.385,5.942,5.757,6.446,5.451,5.747,6.124
CA,3.162,4.572,6.705,6.519,5.665,5.64,4.401,4.555,4.365,0.872,5.68,5.855,4.551,5.675,6.07,3.597,4.38,5.991,3.563
CG,5.859,4.678,6.321,5.55,4.509,6.256,4.895,4.75,4.856,5.633,6.026,5.944,5.444,5.84,5.806,5.987,4.885,5.788,5.673
CH,4.925,1.7,6.268,5.66,4.343,5.513,5.478,1.7,3.244,4.561,5.334,5.388,5.957,4.365,5.451,4.356,3.25,5.421,5.082
CK,5.618,6.265,4.393,5.663,6.222,5.349,5.835,6.202,6.676,5.864,5.591,5.624,4.516,5.786,5.685,5.36,6.669,5.709,5.591
CL,4.491,6.002,5.856,6.156,6.442,6.878,3.693,5.99,5.837,4.551,7.123,7.212,0.872,7.246,7.184,5.106,5.936,7.204,4.833
CN,5.706,5.089,5.353,4.256,4.617,3.55,7.003,5.098,4.389,5.676,3.129,0.872,7.246,0.872,3.381,5.835,5.137,0.872,6.079
CO,4.12,5.385,6.429,7.287,6.298,6.413,4.12,5.332,4.386,4.273,6.522,6.679,4.191,6.542,6.884,4.097,4.348,6.867,3.66
CR,3.899,5.442,6.333,7.151,6.392,6.144,4.534,5.378,4.35,4.143,6.336,6.497,4.406,6.385,6.715,3.779,4.467,6.709,3.45
CV,4.772,4.363,7.044,6.294,4.397,6.392,4.386,4.361,4.306,4.596,6.259,6.307,4.986,6.113,6.336,4.965,4.354,6.31,4.574
CY,5.485,3.685,6.445,4.386,3.623,5.383,5.713,3.806,4.035,4.461,4.343,5.121,6.222,4.92,5.093,5.755,4.021,5.063,5.635
CZ,4.977,1.7,6.159,5.548,4.247,5.383,5.609,1.7,3.316,4.708,4.41,4.474,6.079,5.013,4.551,4.503,3.293,4.518,4.378
DE,4.897,0.872,6.235,5.635,4.343,5.44,5.542,1.7,3.186,4.619,4.491,5.325,6.002,5.089,5.328,4.412,3.162,5.371,5.078
DK,4.868,1.7,6.15,5.504,4.35,4.53,5.668,1.7,3.093,4.603,5.126,4.412,6.11,4.952,4.514,4.38,3.165,4.488,5.095
DZ,5.009,3.336,6.867,5.762,4.419,5.751,4.474,3.412,3.534,4.72,5.499,5.596,5.77,5.388,5.635,4.52,3.555,5.606,5.08
EC,4.335,5.542,6.294,7.353,6.429,6.439,4.206,5.49,5.346,4.425,6.571,6.727,4.058,6.614,6.937,4.161,5.376,6.876,3.804
EE,4.946,3.313,6.587,5.423,4.256,5.115,5.838,3.313,3.472,4.708,4.931,5.005,6.265,4.75,5.106,4.463,3.417,5.076,4.343
EG,5.55,3.799,6.445,4.414,3.642,5.494,5.624,3.909,4.125,4.532,4.474,4.343,6.144,4.958,4.382,5.816,4.118,4.348,5.666
ES,4.76,3.311,7.018,5.864,4.57,5.675,4.361,3.322,3.359,4.539,5.579,5.635,5.726,5.413,5.691,5.13,3.406,5.665,4.914
ET,6.018,4.488,6.112,4.965,3.66,5.673,5.497,4.582,4.76,5.78,5.418,5.319,5.987,4.343,4.38,6.256,4.76,4.354,5.987
FI,4.935,3.333,6.587,5.423,4.269,5.102,5.848,3.33,3.367,4.7,4.918,4.996,6.271,4.738,5.1,4.451,3.423,5.071,4.423
FR,4.821,1.7,6.895,5.666,4.463,5.521,5.451,1.7,3.093,4.53,5.356,5.423,5.917,4.401,5.494,5.124,3.108,5.471,4.982
GA,5.698,4.537,6.473,5.683,4.566,6.283,4.809,4.596,4.698,5.458,5.996,5.998,5.319,5.871,5.888,5.887,4.73,5.867,5.494
GB,4.748,1.7,6.895,5.757,4.514,5.487,5.471,1.7,0.872,4.457,5.332,5.407,5.922,4.382,5.499,5.056,0.872,5.471,4.927
GE,5.487,3.786,6.31,4.999,3.526,5.108,5.954,3.882,4.097,4.491,4.772,4.76,6.439,4.619,4.833,5.755,4.067,4.801,5.696
GR,4.541,3.434,6.61,5.376,3.911,5.48,5.584,3.555,3.791,5.046,4.482,4.488,6.096,5.05,4.488,5.579,3.784,4.455,5.444
GT,3.836,5.451,6.276,7.01,6.413,6.034,4.754,5.383,4.35,4.058,6.184,6.349,4.592,6.246,6.571,3.542,4.451,6.567,3.389
GU,5.54,4.555,6.587,5.827,4.797,6.424,4.572,4.617,4.682,4.539,6.153,6.171,4.404,6.031,6.081,5.713,4.714,5.998,5.371
HR,5.067,1.7,6.142,5.523,4.168,5.444,5.502,3.18,3.445,4.797,4.47,4.516,5.995,5.056,5.332,5.358,3.434,4.534,4.453
HU,5.082,3.077,6.691,5.475,4.127,5.372,5.633,3.08,3.469,4.817,4.389,4.35,6.115,4.984,4.495,5.372,3.45,4.451,4.491
